"Id","UPRN","Date","Easting","Northing","Lat","Long","cluster","demand"
"1767","COOMASSIEST_D41",2016-04-03,378193,407236,53.561028,-2.329614,1,40
"1768","COOMASSIEST_D43",2016-05-10,378193,407236,53.561028,-2.329614,1,40
"1773","COOMASSIEST_D53",2016-03-31,378193,407236,53.561028,-2.329614,1,40
"1779","COOMASSIEST_D79",2016-04-28,378193,407236,53.561028,-2.329614,1,40
"1783","VICTORIAST_D28",2016-04-08,378178,407227,53.560947,-2.32984,1,40
"1785","VICTORIAST_D37",2016-04-18,378178,407227,53.560947,-2.32984,1,40
"1787","VICTORIAST_D44",2016-05-10,378178,407227,53.560947,-2.32984,1,40
"1788","VICTORIAST_D46",2016-04-13,378178,407227,53.560947,-2.32984,1,40
"1794","VICTORIAST_D62",2016-03-30,378178,407227,53.560947,-2.32984,1,40
"1801","VICTORIAST_D42A",2016-04-17,378178,407227,53.560947,-2.32984,1,40
"1809","WOLSEYST_D69",2016-04-11,378185,407367,53.562206,-2.329744,1,40
"1810","WOLSEYST_D71",2016-04-10,378185,407367,53.562206,-2.329744,1,40
"1812","WOLSEYST_D75",2016-05-09,378185,407367,53.562206,-2.329744,1,40
"1813","WOLSEYST_D77",2016-05-08,378185,407367,53.562206,-2.329744,1,40
"1817","BOWKERST_D10",2016-04-17,378212,407434,53.562809,-2.32934,1,40
"1820","BOWKERST_D22",2016-03-31,378212,407434,53.562809,-2.32934,1,40
"1821","BOWKERST_D28",2016-05-04,378212,407434,53.562809,-2.32934,1,40
"1828","BOWKERST_D24",2016-05-10,378160,407456,53.563005,-2.330128,1,40
"1838","BRITTANIACL_D20",2016-05-13,378128,407443,53.562886,-2.330611,1,40
"1839","BRITTANIACL_D22",2016-05-04,378128,407443,53.562886,-2.330611,1,40
"1842","BRITTANIACL_D28",2016-05-09,378128,407443,53.562886,-2.330611,1,40
"1843","BRITTANIACL_D30",2016-04-03,378128,407443,53.562886,-2.330611,1,40
"1850","BOLTONRD_D147",2016-04-05,377682,407389,53.562382,-2.337348,1,40
"1851","BOLTONRD_D177",2016-04-25,377682,407389,53.562382,-2.337348,1,40
"1852","SEDDONRD_D26",2016-04-03,377682,407389,53.562382,-2.337348,1,40
"1858","WELLINGTONST_D26",2016-03-28,377553,407765,53.565757,-2.339325,1,40
"1861","WATERLANEST_D35",2016-04-20,377891,407453,53.562966,-2.334194,1,40
"1862","WATERLANEST_D37",2016-04-07,377891,407453,53.562966,-2.334194,1,40
"1864","MELTONWY_D1",2016-04-18,377926,407508,53.563462,-2.333669,1,40
"1879","SMYRNAST_D29",2016-04-13,377889,407510,53.563479,-2.334228,1,40
"1885","GROSVENORST_D12",2016-04-14,377896,407499,53.56338,-2.334121,1,40
"1888","GROSVENORST_D18",2016-05-04,377896,407499,53.56338,-2.334121,1,40
"1898","WATERLN_D4",2016-05-17,377954,407478,53.563194,-2.333243,1,40
"1902","WATERLN_D12",2016-04-20,377954,407478,53.563194,-2.333243,1,40
"1903","WATERLN_D14",2016-04-26,377954,407478,53.563194,-2.333243,1,40
"1906","WATERLN_D20",2016-05-12,377954,407478,53.563194,-2.333243,1,40
"1909","WATERLN_D26",2016-04-18,377954,407478,53.563194,-2.333243,1,40
"1913","WATERLN_D34",2016-04-05,377954,407478,53.563194,-2.333243,1,40
"1925","MELTONRW_D5",2016-05-13,377978,407501,53.563401,-2.332882,1,40
"1934","SHIREGD_D23",2016-04-21,377935,407603,53.564317,-2.333539,1,40
"1938","SHIREGD_D31",2016-04-11,377935,407603,53.564317,-2.333539,1,40
"1939","SHIREGD_D33",2016-03-30,377935,407603,53.564317,-2.333539,1,40
"1940","SHIREGD_D35",2016-03-28,377935,407603,53.564317,-2.333539,1,40
"1941","SHIREGD_D37",2016-04-04,377935,407603,53.564317,-2.333539,1,40
"1944","SHIREGD_D43",2016-05-08,377935,407603,53.564317,-2.333539,1,40
"1949","SHIREGD_D49",2016-05-15,377935,407603,53.564317,-2.333539,1,40
"1952","SHIREGD_D52",2016-05-09,377935,407603,53.564317,-2.333539,1,40
"1955","SHIREGD_D57",2016-04-03,377935,407603,53.564317,-2.333539,1,40
"1956","SHIREGD_D59",2016-04-25,377935,407603,53.564317,-2.333539,1,40
"1959","SHIREGD_D65",2016-04-28,377935,407603,53.564317,-2.333539,1,40
"1977","BLACKLEACHDV_D47",2016-04-11,373756,404052,53.53247,-2.39742,1,40
"2004","BULRUSHCL_D23",2016-04-15,373684,404091,53.532551,-2.397501,1,40
"2006","BULRUSHCL_D27",2016-04-08,373684,404091,53.532551,-2.397501,1,40
"2007","BULRUSHCL_D29",2016-05-09,373684,404091,53.532551,-2.397501,1,40
"2008","BULRUSHCL_D35",2016-04-06,373684,404091,53.532551,-2.397501,1,40
"2016","BULRUSHCL_D51",2016-05-02,373684,404091,53.532551,-2.397501,1,40
"2021","BULRUSHCL_D61",2016-04-21,373684,404091,53.532551,-2.397501,1,40
"4468","ELMSFM_D50",2016-03-28,380766,406609,53.555493,-2.290685,1,40
"5163","THEFERNS_D2",2016-04-19,387152,422080,53.695005,-2.196056,1,40
"5166","THEFERNS_D6",2016-04-04,387152,422080,53.695005,-2.196056,1,40
"8015","WRIGHTST_B62",2016-04-18,363734,411724,53.60057,-2.548676,1,40
"21944","PINEST_D46",2016-05-04,381539,410992,53.59492,-2.279262,1,40
